run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,92.150550,124.583698,2.065859,2.068070,15,2.015543,-0.466314,-0.034908,-0.446224,-0.112345,-0.306363,-0.255310
2,1,112.570451,162.164030,2.220229,2.146460,20,2.377131,1.009523,0.642051,1.087268,0.623194,1.287155,0.629918
3,1,89.289101,139.612817,2.615538,2.584508,18,3.403577,1.896650,2.311390,1.949985,2.371017,2.079922,2.523058
4,1,132.207752,183.478809,1.942318,2.003520,23,1.828215,0.520599,3.553803,0.493225,3.628974,0.468720,3.827467
5,1,115.743927,157.221270,2.424345,2.478190,18,2.809834,-1.140726,4.338036,-1.219914,4.349402,-1.382926,4.465278
