run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,174.286809,255.543568,1.445935,1.462680,32,1.090868,0.682713,1.267924,0.652151,1.193991,0.849697,1.225226
2,1,188.906501,288.870909,1.325677,1.373012,36,0.859970,0.666185,2.400274,0.716924,2.338423,0.827194,2.505278
3,1,166.230830,228.387687,1.290138,1.289523,28,0.759592,-0.112964,3.093386,-0.034483,3.108904,-0.083192,3.302882
4,1,190.568687,260.476345,1.089734,1.053263,30,0.565970,-1.010159,2.853168,-0.986779,2.929676,-1.162794,3.024643
5,1,128.202084,193.422357,1.188544,1.176145,21,0.713146,-1.642358,2.312844,-1.698758,2.369580,-1.887626,2.303784
