run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,98.891091,151.488701,1.179437,1.221673,19,0.682091,0.525235,2.346380,0.575165,2.283875,0.687098,2.449619
2,1,118.470325,162.887602,1.044743,1.044867,20,0.497790,-0.211085,2.869904,-0.132409,2.884401,-0.179176,3.078856
3,1,122.215775,166.949770,1.467234,1.418255,19,1.025401,-1.131966,3.198112,-1.107594,3.274309,-1.282650,3.371032
4,1,109.605021,165.085726,1.327084,1.312504,18,0.888543,-1.765744,2.372998,-1.821402,2.430463,-2.010918,2.366559
5,1,139.204621,206.915904,1.546680,1.596161,23,1.199454,-1.956677,1.270155,-2.033614,1.248229,-2.114357,1.065252
