run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,63.589563,91.416370,0.745286,0.768488,9,0.295297,-1.276658,2.429661,-1.196785,2.434171,-1.396751,2.430490
2,1,59.945868,93.996819,0.853189,0.872635,9,0.333504,-1.496784,1.748433,-1.463043,1.820969,-1.595278,1.670924
3,1,67.925051,94.398941,0.865664,0.846119,10,0.339102,-1.024419,1.184057,-1.072426,1.248052,-1.050945,1.049209
4,1,73.951277,100.391568,0.910729,0.884517,12,0.404255,-0.312721,1.102434,-0.391801,1.090336,-0.230572,0.971993
5,1,65.924803,97.253413,0.864037,0.876012,13,0.390030,0.194108,1.602992,0.167431,1.527571,0.363570,1.566680
