run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,133.556219,183.912816,2.494521,2.441690,22,2.973649,0.480446,-0.154268,0.537096,-0.210755,0.722352,-0.286121
2,1,98.746897,151.818202,2.381022,2.310319,20,2.773682,1.558267,1.340907,1.634810,1.364169,1.815450,1.450013
3,1,127.810505,186.551430,2.627264,2.658900,23,3.446192,1.617669,3.314486,1.633308,3.392942,1.691870,3.584176
4,1,114.312609,154.826488,2.855892,2.957602,18,3.679711,-0.046113,4.815539,-0.107886,4.866373,-0.209481,5.038648
5,1,150.945983,211.234317,2.895229,2.892470,24,4.086383,-2.305909,4.260443,-2.379888,4.229995,-2.575579,4.271289
