run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,110.606451,150.832485,1.165763,1.193545,17,0.622303,-0.971004,0.899932,-0.993048,0.823029,-0.921766,0.636164
2,1,105.279636,145.087422,1.114048,1.089959,18,0.593210,-0.140165,1.046319,-0.082786,0.990573,0.103215,0.917064
3,1,113.439718,174.719863,1.404971,1.363640,22,0.966153,0.646229,1.593173,0.722463,1.617428,0.902236,1.705074
4,1,107.636904,156.876124,1.394050,1.411633,20,0.970029,0.563345,2.649236,0.577963,2.727889,0.634610,2.919699
5,1,157.228138,212.895972,1.426241,1.476858,25,0.919475,-0.306412,3.358629,-0.368841,3.408656,-0.472154,3.579905
