run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,85.234711,115.545063,0.980917,1.016154,14,0.435782,-0.341200,2.893262,-0.400944,2.946466,-0.497326,3.121710
2,1,76.646226,106.933905,1.384529,1.385680,12,0.934009,-1.344425,3.094891,-1.419535,3.067350,-1.613899,3.114495
3,1,69.405555,109.657476,1.189100,1.149542,11,0.686529,-1.731657,2.153081,-1.742849,2.073867,-1.908810,1.962257
4,1,79.295460,113.391041,1.610780,1.592023,12,1.266302,-1.859292,0.945079,-1.794751,0.897809,-1.824394,0.700018
5,1,82.342027,111.276185,1.456226,1.502290,13,0.986952,-0.700326,0.413404,-0.628181,0.447974,-0.502229,0.292616
