run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,104.831582,141.711320,2.090811,2.045972,17,2.036589,-0.530257,3.940112,-0.469185,3.991785,-0.587984,4.152679
2,1,90.449605,128.028324,2.566524,2.490735,14,3.223100,-2.310045,3.666779,-2.326755,3.745015,-2.525658,3.765932
3,1,77.294324,124.062694,1.645081,1.665454,13,1.385610,-2.188070,1.885785,-2.264924,1.907998,-2.414594,1.775338
4,1,85.429802,120.227823,1.840855,1.906282,13,1.588716,-1.794745,0.568554,-1.850618,0.511298,-1.853733,0.311322
5,1,80.890892,109.428060,1.569685,1.567631,13,1.165621,-0.445101,0.468909,-0.421014,0.392621,-0.275548,0.255364
