run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,117.027075,161.087042,0.744940,0.753823,18,0.293367,-1.018652,2.655615,-0.947567,2.618915,-1.132428,2.695247
2,1,80.263117,123.285538,0.726481,0.752372,13,0.267314,-1.392693,2.099248,-1.326775,2.144578,-1.507861,2.059678
3,1,93.569841,136.679146,0.706466,0.705877,15,0.219043,-1.186054,1.490522,-1.194885,1.570033,-1.254445,1.379107
4,1,84.587462,114.582792,0.789034,0.762590,13,0.291362,-0.656554,1.168952,-0.730812,1.198713,-0.630118,1.025911
5,1,88.516042,123.803065,0.715849,0.708620,16,0.260749,-0.105572,1.440563,-0.166872,1.389159,0.028601,1.346845
