run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,271.173701,406.400220,1.283383,1.267181,46,0.829425,-1.711405,2.389443,-1.764780,2.449034,-1.956127,2.390844
2,1,233.900173,349.364012,1.101183,1.135394,40,0.609882,-1.556551,1.500533,-1.634284,1.481624,-1.720479,1.301151
3,1,282.580806,384.948561,1.050600,1.074645,45,0.506537,-0.913492,1.005873,-0.933529,0.928423,-0.858524,0.743020
4,1,214.071695,295.487701,1.215885,1.188535,36,0.706892,-0.074008,0.969526,-0.015199,0.915291,0.172235,0.845516
5,1,228.385321,353.027745,1.080208,1.049054,43,0.571597,0.346712,1.688319,0.422290,1.714548,0.600273,1.805772
