run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,93.741460,134.668732,1.880521,1.924810,17,1.559828,0.813632,3.198943,0.888397,3.170478,0.924986,3.367103
2,1,123.236060,166.574564,2.460633,2.406778,20,2.822105,-0.530537,4.300809,-0.470141,4.353272,-0.590544,4.512969
3,1,106.665386,151.160130,2.540134,2.465838,17,3.159487,-2.309454,3.631877,-2.327180,3.709889,-2.526282,3.728816
4,1,127.526897,204.296111,2.342970,2.373321,22,2.810682,-2.894712,1.845211,-2.971849,1.866424,-3.120185,1.732274
5,1,120.652326,169.610661,2.553054,2.643460,19,3.048844,-2.259084,-0.004328,-2.314207,-0.062305,-2.315322,-0.262302
