run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,246.938433,397.885648,0.947237,0.957880,45,0.459340,-1.481616,1.920794,-1.557867,1.944998,-1.710160,1.815357
2,1,304.212342,429.088475,0.899879,0.932068,49,0.381349,-1.168088,1.314707,-1.225430,1.258922,-1.232543,1.059049
3,1,259.686543,351.181454,0.935818,0.935705,41,0.413955,-0.533872,1.095352,-0.511777,1.018463,-0.369084,0.878324
4,1,269.954145,389.952081,0.927574,0.896577,47,0.415142,0.037505,1.426828,0.115715,1.409998,0.315427,1.420719
5,1,200.642137,312.569587,0.957018,0.946716,38,0.455956,0.279032,2.061876,0.330799,2.122869,0.457669,2.277479
