run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,62.795598,86.539542,0.779080,0.762234,11,0.290111,-0.295679,1.334797,-0.238300,1.279050,-0.052299,1.205541
2,1,53.768769,82.814662,0.987053,0.958015,11,0.476861,0.252853,1.692099,0.329087,1.716354,0.508860,1.804000
3,1,62.129511,90.551070,0.862133,0.873007,12,0.371002,0.113879,2.352423,0.128497,2.431076,0.185144,2.622886
4,1,64.590813,87.459688,1.181989,1.223938,11,0.631512,-0.346000,3.108826,-0.408428,3.158853,-0.511741,3.330103
5,1,67.865736,95.070409,0.921002,0.919578,10,0.413579,-1.099507,2.700571,-1.173084,2.669164,-1.369178,2.708499
