run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,60.082260,81.239165,1.284183,1.284792,10,0.779179,-0.512754,0.746953,-0.491659,0.669784,-0.350376,0.528225
2,1,60.958777,87.934484,1.422305,1.374905,12,0.975805,0.411232,1.128816,0.489216,1.110970,0.689026,1.119694
3,1,54.148620,84.510692,1.656337,1.637594,12,1.365361,0.960416,2.172593,1.012971,2.232908,1.141381,2.386241
4,1,66.579828,92.316690,1.388295,1.432463,12,0.932829,0.197933,3.083368,0.169583,3.158177,0.143094,3.356415
5,1,65.697013,89.276931,1.698572,1.735464,10,1.380487,-0.971574,3.615529,-1.050904,3.625864,-1.215066,3.740104
