run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,70.940682,114.084352,0.704551,0.712873,12,0.254139,-1.236231,1.915938,-1.312790,1.939149,-1.463780,1.807992
2,1,88.547943,124.755085,0.792230,0.820482,14,0.294910,-1.087831,1.392707,-1.144443,1.336182,-1.149557,1.136248
3,1,87.027362,117.708523,0.730967,0.730444,14,0.252668,-0.546955,1.300129,-0.523861,1.223535,-0.379775,1.084830
4,1,89.885975,130.021988,0.716842,0.692828,17,0.248010,-0.121209,1.554078,-0.042787,1.538266,0.156808,1.550983
5,1,74.407051,115.702282,0.693894,0.686809,15,0.239772,0.023005,2.020496,0.073975,2.082157,0.199292,2.238027
