run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,64.932838,87.797788,1.352877,1.353519,10,0.864769,-0.506958,0.678471,-0.485864,0.601302,-0.344580,0.459743
2,1,61.246618,88.349703,0.871105,0.842074,12,0.366032,-0.010882,1.453973,0.067102,1.436128,0.266911,1.444851
3,1,54.646621,85.287931,1.086827,1.074528,12,0.587856,0.405816,2.075319,0.458372,2.135634,0.586782,2.288967
4,1,59.570612,82.598016,0.780481,0.805311,11,0.294824,-0.139001,2.554412,-0.167351,2.629220,-0.193840,2.827459
5,1,61.553674,83.646469,0.983501,1.004863,9,0.462823,-0.781751,2.910018,-0.861081,2.920353,-1.025243,3.034593
