run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,60.905632,83.142908,1.313984,1.294463,10,0.822822,-0.197096,0.801204,-0.150754,0.735993,0.023169,0.637248
2,1,51.834380,77.920718,1.840406,1.780610,11,1.648518,0.969983,1.268958,1.049348,1.279015,1.239592,1.340717
3,1,53.245656,79.292844,1.357983,1.363975,11,0.922052,0.603330,2.460738,0.631942,2.535446,0.714801,2.717475
4,1,57.612111,78.411521,2.039426,2.113350,10,1.925019,0.071158,3.910222,0.018815,3.970722,-0.059590,4.154713
5,1,56.945384,78.722937,1.747186,1.759039,8,1.483520,-1.415503,3.482757,-1.493549,3.465186,-1.682236,3.531499
