run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,61.490391,94.055879,0.951187,0.975661,9,0.460086,-1.456371,1.680006,-1.536243,1.675478,-1.646779,1.508799
2,1,68.128290,93.613547,0.857398,0.882178,10,0.331621,-0.954414,1.230341,-0.988139,1.157797,-0.939739,0.963741
3,1,69.567896,95.078876,0.919263,0.904657,12,0.402906,-0.317154,1.172003,-0.269132,1.108019,-0.093269,1.012772
4,1,57.313234,86.446928,0.866703,0.838831,12,0.365883,0.104084,1.637390,0.183161,1.649506,0.372133,1.715001
5,1,60.778237,90.220446,0.809626,0.814162,12,0.327733,0.101554,2.238664,0.128215,2.314091,0.207417,2.497740
