run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,58.697709,83.069034,1.066333,1.033431,11,0.546431,0.042212,1.236709,0.115261,1.204091,0.314130,1.182856
2,1,53.027822,85.139402,1.415349,1.388388,12,0.991620,0.724754,1.933815,0.788000,1.982804,0.937882,2.115225
3,1,59.279491,83.440473,1.305818,1.340205,11,0.838656,0.294170,2.881190,0.280853,2.960073,0.284286,3.160044
4,1,67.870546,91.811628,1.562998,1.607334,11,1.151155,-0.705152,3.521602,-0.780976,3.547114,-0.926223,3.684602
5,1,60.100978,87.039827,1.805133,1.775169,9,1.589635,-1.978220,3.047698,-2.036512,2.992908,-2.235994,2.978513
