run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,67.030348,100.596512,1.232389,1.192160,13,0.738919,0.420240,1.480716,0.499730,1.489739,0.690581,1.549537
2,1,63.434706,94.619346,1.111582,1.115825,13,0.617799,0.382970,2.344503,0.412552,2.418833,0.497227,2.600024
3,1,77.807266,105.949125,1.296599,1.343563,13,0.779665,-0.142209,3.169501,-0.193761,3.230676,-0.270323,3.415442
4,1,70.498008,97.377114,1.526729,1.537989,11,1.132376,-1.289706,3.299081,-1.367974,3.282526,-1.555988,3.350723
5,1,75.773187,117.305218,1.579589,1.529683,12,1.212277,-2.071125,2.357591,-2.093491,2.280781,-2.270702,2.188064
