run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,58.336310,82.557583,1.706190,1.653545,11,1.398956,0.471407,0.789123,0.544456,0.756505,0.743325,0.735271
2,1,56.867401,91.304081,1.777044,1.743193,12,1.563201,1.079460,1.942198,1.142707,1.991187,1.292588,2.123609
3,1,61.296755,86.279929,1.854337,1.903168,11,1.691203,0.664178,3.305479,0.650861,3.384362,0.654295,3.584333
4,1,71.432225,96.629675,1.475512,1.517367,11,1.025894,-0.695023,3.432207,-0.770846,3.457718,-0.916094,3.595207
5,1,60.641122,87.822078,1.762031,1.732781,9,1.514627,-1.943919,3.022796,-2.002211,2.968005,-2.201693,2.953610
