run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,68.112546,101.762491,1.237877,1.241864,14,0.766144,0.501542,2.386556,0.532087,2.460495,0.618569,2.640830
2,1,66.294122,90.317154,1.178426,1.221065,11,0.645308,-0.168426,3.048322,-0.219179,3.110162,-0.293889,3.295684
3,1,72.682963,100.312833,1.259298,1.269328,11,0.770138,-1.144316,3.071576,-1.222793,3.056039,-1.410116,3.126113
4,1,58.135315,89.837093,1.687750,1.634776,9,1.384091,-2.169119,2.395962,-2.192482,2.319449,-2.370611,2.228509
5,1,71.839516,104.424174,1.512375,1.485320,11,1.115612,-1.880590,1.165554,-1.824177,1.108830,-1.877284,0.916010
