run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,68.619829,102.981943,1.602916,1.550592,14,1.250037,0.750883,1.342335,0.830372,1.351358,1.021224,1.411155
2,1,64.947944,96.876495,1.715939,1.722488,13,1.472203,0.933485,2.599403,0.963066,2.673733,1.047741,2.854924
3,1,83.923095,114.276969,1.508727,1.563374,14,1.055644,-0.075747,3.379023,-0.127299,3.440198,-0.203861,3.624964
4,1,75.839785,104.755576,1.870810,1.884609,11,1.700303,-1.462786,3.599395,-1.541054,3.582840,-1.729068,3.651037
5,1,76.299109,118.119403,1.370187,1.326898,12,0.912165,-1.873137,2.313740,-1.895503,2.236930,-2.072714,2.144213
