run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,57.158324,77.260321,2.005702,2.023329,9,1.886810,-0.719166,0.009507,-0.712387,-0.070206,-0.592239,-0.230095
2,1,56.889158,80.604806,2.321459,2.249301,11,2.590417,0.899483,0.373814,0.972949,0.342149,1.172021,0.322904
3,1,48.549543,77.799420,2.068917,2.030498,11,2.119705,1.366745,1.968465,1.429350,2.018272,1.577900,2.152185
4,1,58.259351,81.914133,1.648195,1.692294,11,1.334909,0.513796,3.157787,0.499454,3.236492,0.500888,3.436486
5,1,56.712254,76.731933,1.680605,1.727620,9,1.332490,-0.735527,3.640080,-0.811676,3.664603,-0.958291,3.800633
