run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,68.161489,104.260009,0.949008,0.973425,11,0.457980,-1.454226,1.680635,-1.534098,1.676107,-1.644633,1.509428
2,1,67.269682,92.433753,1.076893,1.108016,10,0.523145,-1.053778,1.027536,-1.087503,0.954992,-1.039103,0.760937
3,1,79.678333,108.896874,1.057419,1.040618,13,0.533111,-0.267428,1.045462,-0.219406,0.981478,-0.043543,0.886231
4,1,66.884335,100.883250,1.471780,1.424449,13,1.055084,0.650837,1.427604,0.729914,1.439721,0.918886,1.505215
5,1,78.318130,116.257018,1.163167,1.169684,15,0.676449,0.419546,2.397653,0.446206,2.473079,0.525408,2.656729
