run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,140.915347,206.550191,1.254696,1.297667,23,0.780769,-1.635670,1.307777,-1.709521,1.277020,-1.773491,1.087526
2,1,134.521813,182.349955,1.240274,1.261029,21,0.714148,-0.837294,0.792634,-0.845056,0.713011,-0.748395,0.537921
3,1,161.068889,224.752681,1.397110,1.359220,27,0.935475,0.139109,0.899708,0.205630,0.855268,0.400069,0.808433
4,1,123.497215,195.178326,1.471351,1.435003,25,1.065909,0.756307,1.759993,0.826893,1.797645,0.992676,1.909520
5,1,173.529751,248.093486,1.425861,1.454687,30,1.009188,0.490012,2.833161,0.490153,2.913161,0.519480,3.110999
