run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,75.657799,118.925662,1.323223,1.347637,12,0.895654,-1.856099,1.757290,-1.935335,1.768325,-2.069537,1.620036
2,1,106.915925,148.771004,1.351821,1.397156,17,0.834247,-1.348167,0.865927,-1.395309,0.801293,-1.376452,0.602184
3,1,98.292804,133.370491,1.477273,1.465855,16,1.036441,-0.308492,0.592982,-0.273779,0.520906,-0.114124,0.400447
4,1,108.875886,160.289031,1.377072,1.330598,20,0.918653,0.477185,1.296483,0.557111,1.293047,0.753748,1.329567
5,1,93.185162,141.829686,1.420543,1.415835,18,1.007777,0.706000,2.317972,0.746771,2.386804,0.852528,2.556555
