run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,47.507293,67.100902,1.186409,1.180530,9,0.721876,0.257509,1.142507,0.202629,1.084299,0.401114,1.059725
2,1,40.331799,64.965601,1.210721,1.252569,9,0.750389,0.627145,2.034398,0.652540,1.958536,0.804627,2.088419
3,1,46.595860,65.711120,1.197473,1.216465,9,0.639932,0.135963,2.866679,0.214826,2.853241,0.221621,3.053126
4,1,50.571616,68.391107,1.349439,1.312121,8,0.854890,-0.774880,3.192905,-0.725794,3.256077,-0.868709,3.395988
5,1,46.530537,67.228757,1.324192,1.292319,7,0.868254,-1.600359,2.653613,-1.632864,2.726711,-1.832560,2.715672
