run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,46.617615,63.019039,1.897412,1.846872,7,1.687680,-0.773350,3.731640,-0.721839,3.792849,-0.860493,3.936984
2,1,46.455726,66.845957,1.793129,1.747864,7,1.588548,-1.935181,2.967622,-1.964812,3.041933,-2.164749,3.036889
3,1,40.394248,63.259142,2.247431,2.291247,6,2.582535,-2.784205,1.586804,-2.863700,1.595774,-2.994910,1.444831
4,1,48.961441,68.001304,1.942852,2.007044,7,1.714311,-1.663803,0.343178,-1.709249,0.277340,-1.686414,0.078648
5,1,49.321362,66.973302,2.841816,2.816621,8,3.837743,0.045045,-0.711751,0.081620,-0.782901,0.243652,-0.900143
