run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,56.789851,77.479059,1.681165,1.669520,10,1.298340,-0.112442,3.495173,-0.036974,3.521718,-0.106683,3.709176
2,1,50.326265,69.309998,1.981183,1.914240,7,1.883482,-1.506397,3.563512,-1.494159,3.642571,-1.679535,3.717642
3,1,52.897285,81.349943,1.813870,1.806366,8,1.671106,-2.284145,2.357140,-2.348055,2.405259,-2.528558,2.319128
4,1,50.691240,73.971300,2.371287,2.453856,7,2.777146,-2.586365,0.648664,-2.658961,0.615050,-2.717219,0.423723
5,1,66.091333,89.511126,2.035176,2.065880,10,1.927653,-0.935845,-0.007762,-0.940496,-0.087626,-0.838626,-0.259739
