run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,72.645195,99.905138,1.796176,1.857838,13,1.539513,0.274502,3.538265,0.236694,3.608767,0.190547,3.803370
2,1,62.278410,85.058018,2.082960,2.117362,9,2.091421,-1.271503,3.929547,-1.351503,3.929511,-1.526251,4.026791
3,1,59.292335,89.257590,1.484165,1.443712,9,1.071895,-1.904067,2.553306,-1.941812,2.482771,-2.131531,2.419471
4,1,54.218252,80.632028,1.824726,1.779936,8,1.621590,-2.245510,1.239106,-2.201158,1.172527,-2.282483,0.989808
5,1,57.134927,77.731237,1.180442,1.204548,9,0.668153,-1.022644,0.787667,-0.943011,0.795323,-0.863062,0.611998
