run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,111.533297,163.237970,0.847727,0.876931,18,0.355932,-1.271756,1.519456,-1.345201,1.487742,-1.407274,1.297618
2,1,106.244399,143.974373,0.962991,0.978581,17,0.430886,-0.773833,1.067938,-0.780559,0.988221,-0.682152,0.814106
3,1,98.473124,137.545092,0.852583,0.829173,17,0.348441,-0.168976,1.330693,-0.101883,1.287122,0.093015,1.242233
4,1,82.099162,129.997002,0.919661,0.897304,17,0.416607,0.223051,1.825093,0.293140,1.863660,0.457797,1.977187
5,1,80.318225,114.683247,0.839700,0.857102,15,0.349802,0.037511,2.443895,0.036612,2.523890,0.063959,2.722011
