run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,66.143590,96.806475,0.773945,0.800607,10,0.296670,-1.206897,1.559689,-1.280342,1.527975,-1.342415,1.337851
2,1,73.863813,100.094652,0.845200,0.858883,11,0.331923,-0.751748,1.185581,-0.758473,1.105864,-0.660066,0.931749
3,1,63.380275,88.528173,0.879473,0.855325,11,0.370768,-0.153266,1.309786,-0.086172,1.266215,0.108725,1.221326
4,1,68.355539,108.235149,0.939153,0.916323,14,0.434455,0.241981,1.823263,0.312071,1.861830,0.476727,1.975357
5,1,67.431209,96.282382,0.983767,1.004155,13,0.480129,0.146734,2.542357,0.145835,2.622352,0.173183,2.820473
