run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,49.169648,72.167965,1.428185,1.379911,10,0.987461,0.506319,1.250351,0.586128,1.244839,0.783457,1.277419
2,1,49.601770,75.758963,1.126404,1.121349,11,0.633405,0.430809,2.206802,0.473355,2.274550,0.582485,2.442152
3,1,59.156693,81.236754,1.462737,1.513514,10,1.017750,0.094091,3.245204,0.054463,3.314699,0.004433,3.508341
4,1,58.792118,80.392529,1.291347,1.311257,9,0.804824,-1.009848,3.168451,-1.089820,3.166336,-1.266478,3.260101
5,1,60.388285,91.214901,1.434481,1.394437,9,1.001113,-1.870148,2.510058,-1.906047,2.438565,-2.094462,2.371484
