run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,56.031322,85.729726,1.031391,1.026161,12,0.530948,0.341738,2.169973,0.385162,2.237163,0.495962,2.403665
2,1,62.482225,85.865352,0.916171,0.947804,11,0.399905,-0.142911,2.730466,-0.181632,2.800471,-0.229723,2.994603
3,1,74.090178,101.249854,1.134345,1.152459,11,0.620643,-0.939797,3.024360,-1.019789,3.023284,-1.195501,3.118811
4,1,62.722700,94.580709,1.193369,1.160444,10,0.692931,-1.645941,2.438451,-1.682767,2.367430,-1.871843,2.302236
5,1,78.341632,116.321433,1.183697,1.155111,12,0.682456,-1.679208,1.501081,-1.633994,1.435083,-1.713488,1.251561
