run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,74.308198,106.654342,1.661796,1.692807,14,1.372924,0.698392,2.952333,0.701651,3.032266,0.736900,3.229135
2,1,95.339093,128.859852,1.611992,1.665897,15,1.197332,-0.452533,3.573425,-0.521454,3.614044,-0.642942,3.772917
3,1,80.484424,114.150939,1.813088,1.798659,12,1.604291,-1.800227,3.266674,-1.868577,3.225102,-2.067804,3.242672
4,1,85.403998,136.637013,1.409697,1.362143,14,0.964693,-1.965309,1.972637,-1.960940,1.892757,-2.108359,1.757599
5,1,83.005355,116.600718,1.576556,1.571703,13,1.212277,-1.683504,0.780509,-1.611027,0.746640,-1.610779,0.546640
