run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,52.731115,71.291651,1.463872,1.424371,8,1.005042,-0.758885,3.308384,-0.708174,3.370258,-0.848263,3.512999
2,1,51.844860,74.701596,1.328057,1.295042,7,0.872034,-1.588673,2.674972,-1.619268,2.748891,-1.819143,2.741848
3,1,42.632732,66.641074,1.209304,1.233504,6,0.747530,-1.737101,1.739187,-1.816706,1.747124,-1.946400,1.594876
4,1,50.420261,69.963465,0.978612,1.010688,7,0.433803,-1.105548,1.168577,-1.150134,1.102154,-1.125314,0.903700
5,1,47.506551,64.534935,1.266409,1.254467,8,0.762355,-0.321761,0.806585,-0.284264,0.735917,-0.121067,0.620301
