run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,49.030015,69.222752,1.323082,1.344791,9,0.780452,0.232041,2.953930,0.310723,2.939468,0.319517,3.139274
2,1,51.535376,69.684181,1.504683,1.463570,8,1.062381,-0.775641,3.345631,-0.725739,3.408159,-0.867248,3.549492
3,1,44.784761,64.617205,1.314483,1.282320,6,0.854933,-1.585561,2.657396,-1.617114,2.730911,-1.816910,2.721870
4,1,42.933877,66.987969,1.217433,1.242416,6,0.757392,-1.743690,1.726513,-1.823392,1.733414,-1.951557,1.579876
5,1,45.673332,63.319650,1.453465,1.500710,7,0.954401,-1.360512,0.749976,-1.404232,0.682979,-1.377427,0.484784
