run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,67.816705,97.337121,1.413427,1.439803,13,0.993203,0.503849,2.790579,0.507109,2.870513,0.542357,3.067382
2,1,80.942480,109.401461,0.969568,1.001990,13,0.433156,-0.483836,2.910256,-0.552757,2.950875,-0.674245,3.109749
3,1,62.829299,89.110701,1.186117,1.176678,9,0.686595,-1.361550,2.825741,-1.429900,2.784168,-1.629127,2.801738
4,1,57.994254,92.784434,0.905657,0.875106,9,0.398167,-1.478703,1.993105,-1.474333,1.913224,-1.621752,1.778066
5,1,59.341878,83.359749,1.047471,1.044247,9,0.535140,-1.344208,1.184350,-1.271731,1.150482,-1.271483,0.950482
