run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,63.734272,97.515487,0.824839,0.820657,13,0.339581,0.144445,2.112465,0.187868,2.179654,0.298669,2.346157
2,1,57.812336,79.447821,0.798196,0.825755,10,0.303544,-0.196784,2.620951,-0.235505,2.690955,-0.283596,2.885087
3,1,62.144327,84.924943,0.757826,0.769928,9,0.277007,-0.800458,2.668109,-0.880450,2.667033,-1.056162,2.762561
4,1,48.923057,73.771974,0.837006,0.813913,7,0.340877,-1.322606,2.313798,-1.359431,2.242777,-1.548507,2.177583
5,1,50.451991,74.910973,0.755681,0.737432,7,0.278145,-1.305324,1.687271,-1.260110,1.621273,-1.339604,1.437750
