run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,106.760825,146.915145,1.067963,1.099612,17,0.513067,-1.067857,1.044054,-1.103457,0.972412,-1.058947,0.777427
2,1,81.771276,111.626815,1.089027,1.072849,14,0.565202,-0.274008,1.009044,-0.227666,0.943833,-0.053743,0.845088
3,1,82.850541,124.546173,1.049450,1.015352,16,0.536031,0.261138,1.557329,0.340503,1.567386,0.530747,1.629088
4,1,64.743430,96.415204,1.122232,1.127184,13,0.629698,0.389460,2.359102,0.418073,2.433810,0.500931,2.615839
5,1,85.540075,116.422176,0.989850,1.025730,14,0.453480,-0.247310,2.870273,-0.299653,2.930772,-0.378059,3.114763
