run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,26.037768,36.783378,0.735952,0.754952,3,0.288920,-1.193534,2.512820,-1.114164,2.502799,-1.312688,2.527058
2,1,21.288009,34.279718,0.736821,0.758061,2,0.258699,-1.404346,1.878395,-1.358034,1.943627,-1.509914,1.813502
3,1,25.030565,35.292617,0.762500,0.750308,3,0.260444,-1.066061,1.320460,-1.101692,1.392087,-1.108169,1.192192
4,1,25.182506,34.056702,0.837863,0.810948,4,0.337196,-0.441005,1.140498,-0.520968,1.142913,-0.377830,1.003229
5,1,24.499958,35.406116,0.772521,0.776940,6,0.309944,0.061587,1.553379,0.021699,1.484032,0.221376,1.495389
