run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,28.538790,42.722206,0.931467,0.965161,3,0.450152,-1.558008,2.304433,-1.484556,2.336132,-1.676295,2.279246
2,1,30.387395,45.438641,0.892017,0.899228,4,0.344660,-1.428401,1.504923,-1.421658,1.584639,-1.509081,1.404757
3,1,34.322198,46.772101,0.988360,0.957381,5,0.451312,-0.836246,0.998356,-0.903330,1.041943,-0.829590,0.856033
4,1,33.032856,45.570794,0.886550,0.870603,6,0.394126,-0.106710,1.227725,-0.176808,1.189173,0.010146,1.118122
5,1,31.266123,48.270353,0.866570,0.890186,7,0.391733,0.265212,1.824293,0.266093,1.744298,0.444694,1.834307
