run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,171.028484,256.161898,0.832220,0.839437,29,0.299716,-1.378176,1.536998,-1.370397,1.616619,-1.459614,1.437621
2,1,203.893516,277.999262,0.800261,0.775351,32,0.295634,-0.786487,1.172632,-0.852999,1.217087,-0.781121,1.030449
3,1,195.798118,269.899945,0.923589,0.906527,33,0.427309,-0.096696,1.191049,-0.167290,1.153412,0.018944,1.080495
4,1,183.280570,282.450076,0.827498,0.849708,35,0.357350,0.224864,1.825394,0.224706,1.745394,0.404198,1.833613
5,1,208.673323,303.991158,0.922026,0.947747,37,0.386238,0.118753,2.512695,0.189197,2.474778,0.245233,2.666768
