run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,96.121481,129.942038,0.967886,0.936319,15,0.448601,-0.456934,1.010290,-0.536743,1.015820,-0.397859,0.871906
2,1,116.767422,168.054797,0.912144,0.915733,21,0.431349,0.158518,1.446798,0.115956,1.379059,0.315884,1.384422
3,1,91.222359,142.815942,0.909082,0.942015,18,0.414247,0.290844,2.166621,0.330457,2.097117,0.461426,2.248269
4,1,123.467796,171.456169,0.831699,0.837736,21,0.312786,-0.218087,2.646804,-0.138114,2.648901,-0.161266,2.847557
5,1,104.751289,142.250366,0.924857,0.895600,16,0.404670,-0.854033,2.747149,-0.818118,2.818634,-0.980337,2.935617
