run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,51.410100,69.497329,1.386683,1.399682,8,0.901316,-0.697459,0.633120,-0.691717,0.553327,-0.573174,0.392244
2,1,52.433019,74.203241,1.963108,1.902535,10,1.851986,0.643739,0.609406,0.716788,0.576788,0.915657,0.555554
3,1,50.476525,81.043140,1.692022,1.659791,11,1.417198,0.996081,1.940228,1.059328,1.989216,1.209209,2.121638
4,1,71.403129,100.505432,1.880686,1.930212,13,1.739607,0.681953,3.325860,0.668636,3.404744,0.672069,3.604715
5,1,66.485944,89.938612,1.699258,1.747460,10,1.360617,-0.720930,3.660837,-0.796753,3.686348,-0.942001,3.823837
