run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,96.199833,143.961677,1.512955,1.516926,18,1.144438,0.757497,2.486170,0.789000,2.559706,0.877282,2.739167
2,1,93.310706,127.189587,1.101488,1.141289,16,0.564904,-0.183289,2.968256,-0.233234,3.030751,-0.306085,3.217011
3,1,92.887289,128.094515,1.246670,1.257333,14,0.754488,-1.127249,3.066216,-1.205921,3.051701,-1.392534,3.123644
4,1,66.951010,103.273742,1.210346,1.172617,10,0.711875,-1.715218,2.302616,-1.739573,2.226414,-1.918602,2.137259
5,1,82.963248,120.767570,1.245911,1.223016,13,0.757064,-1.670536,1.324946,-1.614866,1.267493,-1.669899,1.075214
