run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,86.643954,132.812909,2.193881,2.249943,17,2.514428,1.569785,1.422898,1.566507,1.342965,1.748565,1.425760
2,1,98.782634,144.542007,1.625203,1.672417,18,1.210208,0.750874,2.874481,0.819786,2.833847,0.881556,3.024069
3,1,107.536228,145.718028,1.889561,1.859927,17,1.653865,-0.328094,3.736980,-0.259735,3.778537,-0.358419,3.952495
4,1,89.774893,125.415729,1.520609,1.471602,14,1.121629,-1.481570,3.045174,-1.485922,3.125056,-1.680891,3.169634
5,1,86.070422,136.326219,1.453658,1.461455,14,1.079919,-1.982426,2.054422,-2.054896,2.088306,-2.219371,1.974518
