run_index,success,navigation_time,search_time,error_all,error,iterations,variance,source_all_x,source_all_y,source_x,source_y,robot_x,robot_y
1,1,29.812335,42.849083,0.853769,0.856620,6,0.377672,0.107803,1.476424,0.064365,1.409245,0.264337,1.412607
2,1,26.755592,41.965966,0.894530,0.926904,7,0.401746,0.278227,2.155608,0.316933,2.085595,0.449407,2.235430
3,1,30.102175,41.840755,0.794863,0.801101,6,0.285469,-0.231645,2.612830,-0.151652,2.613888,-0.172816,2.812765
4,1,30.639001,41.591035,0.863167,0.836039,4,0.352296,-0.832335,2.691849,-0.795494,2.762861,-0.956534,2.881461
5,1,26.785933,39.505319,0.779752,0.765879,3,0.304131,-1.225161,2.254382,-1.270360,2.320389,-1.466561,2.281592
