method,scenario,simulation,speed,runs,mean_error,std_error,mean_search_time,std_search_time
GrGSL,House18,"5,3-1_slow",slow,5,1.124330,0.143404,128.331173,5.075323
GrGSL,House19,"2,4-1,5_fast",fast,5,0.922362,0.065050,128.717913,6.383617
GrGSL,House19,"2,4-1,5_slow",slow,5,1.111792,0.120456,145.552273,5.903331
GrGSL,House19,"4,5-1_fast",fast,5,0.839555,0.040482,95.237356,8.769681
GrGSL,House19,"4,5-1_slow",slow,5,0.918004,0.030912,126.349356,7.009027
GrGSL,House20,"2-1,4_fast",fast,5,0.882030,0.057715,96.360768,8.286920
GrGSL,House20,"2-1,4_slow",slow,5,0.858500,0.037342,114.326021,8.361479
GrGSL,House20,4-1_fast,fast,5,0.818617,0.057472,110.152953,8.996348
GrGSL,House20,4-1_slow,slow,5,1.193171,0.184016,146.146262,4.888552
GrGSL,House21,"1,2,5-9,10_fast",fast,5,0.883098,0.062740,91.883135,3.544178
GrGSL,House21,"1,2,5-9,10_slow",slow,5,1.342040,0.173267,125.322112,9.153076
GrGSL,House21,"6,8-1,2_fast",fast,5,1.143238,0.173484,104.546181,8.892161
GrGSL,House21,"6,8-1,2_slow",slow,5,0.950764,0.024621,112.690359,9.885178
GrGSL,House22,2-5_fast,fast,5,1.379268,0.210421,93.032070,4.972961
GrGSL,House22,2-5_slow,slow,5,1.650284,0.300242,98.204847,4.945726
GrGSL,House22,6-1_fast,fast,5,1.381977,0.345776,84.319640,3.310447
GrGSL,House22,6-1_slow,slow,5,1.464660,0.157697,106.057368,10.307795
GrGSL,House23,"13,14-5,6,10_fast",fast,5,2.346382,0.423278,90.153839,3.315749
GrGSL,House23,"13,14-5,6,10_slow",slow,5,2.733589,0.299075,92.780773,7.069315
GrGSL,House23,"15-6,10_fast",fast,5,1.161049,0.197642,74.437290,0.781379
GrGSL,House23,"15-6,10_slow",slow,5,1.944882,0.291407,92.565483,7.540300
GrGSL,House24,"2,4-1_fast",fast,5,1.944608,0.233001,78.862123,2.268509
GrGSL,House24,"2,4-1_slow",slow,5,3.320368,0.565289,90.839231,5.012217
GrGSL,House24,2-1_fast,fast,5,1.421777,0.341175,74.102413,0.431716
GrGSL,House24,2-1_slow,slow,5,1.709893,0.281916,81.993789,3.728172
GrGSL,House25,"2,7-3_fast",fast,5,1.662287,0.335821,79.498186,2.097404
GrGSL,House25,"2,7-3_slow",slow,5,1.621068,0.364083,88.791065,6.357326
GrGSL,House25,"3,4-1,7_fast",fast,5,1.519276,0.199203,77.639600,1.736873
GrGSL,House25,"3,4-1,7_slow",slow,5,2.441880,0.327481,87.012060,5.971945
GrGSL,House26,"4,5-1,3_fast",fast,5,1.710011,0.140738,88.918669,5.333354
GrGSL,House26,"4,5-1,3_slow",slow,5,1.428905,0.281800,86.100073,3.559795
GrGSL,House26,"5,6-3_fast",fast,5,1.206322,0.186754,83.013667,1.485472
GrGSL,House26,"5,6-3_slow",slow,5,1.946618,0.439115,114.142898,9.140924
GrGSL,House27,"3,4-9_fast",fast,5,0.892071,0.035526,80.594824,2.912046
GrGSL,House27,"3,4-9_slow",slow,5,1.614426,0.376624,129.300096,6.947743
GrGSL,House27,"7,8,9-1,2,3,4_fast",fast,5,1.609592,0.208514,107.402077,8.652379
GrGSL,House27,"7,8,9-1,2,3,4_slow",slow,5,1.343844,0.191852,103.169463,8.955752
GrGSL,House28,"5,7-2,3_fast",fast,5,1.206126,0.142802,92.856218,7.118646
GrGSL,House28,"5,7-2,3_slow",slow,5,1.582935,0.378362,115.461794,7.164347
GrGSL,House28,"8-1,3_fast",fast,5,0.913267,0.040212,83.715281,2.501211
GrGSL,House28,"8-1,3_slow",slow,5,1.227618,0.242188,114.554166,5.456094
GrGSL,House29,1-3_fast,fast,5,1.126896,0.105548,90.966406,6.468969
GrGSL,House29,1-3_slow,slow,5,1.420107,0.307639,106.229488,4.824817
GrGSL,House29,3-1_fast,fast,5,1.148548,0.161607,81.228140,3.143803
GrGSL,House29,3-1_slow,slow,5,1.370471,0.181755,97.330749,6.785927
GrGSL,House30,"1,8-5_fast",fast,5,1.512705,0.337325,82.464704,3.013839
GrGSL,House30,"1,8-5_slow",slow,5,3.009425,0.502856,106.116301,4.380201
GrGSL,House30,"7,8-3,4_fast",fast,5,1.957274,0.368172,78.810502,2.729502
GrGSL,House30,"7,8-3,4_slow",slow,5,1.350910,0.278445,78.925622,2.269921
PMFS,House01,"1,3-2,4_fast",fast,5,3.058363,0.645214,91.117118,2.501783
PMFS,House01,"1,3-2,4_slow",slow,5,0.534318,0.023349,75.372831,0.537077
PMFS,House01,"2,4-1_fast",fast,5,0.484165,0.039485,80.247038,1.784733
PMFS,House01,"2,4-1_slow",slow,5,0.665296,0.031783,74.696559,0.427160
PMFS,House02,"3,5-1_fast",fast,5,0.463083,0.041567,102.445663,5.781095
PMFS,House02,"3,5-1_slow",slow,5,0.430382,0.014692,76.079778,0.691012
PMFS,House02,"4,5-3_fast",fast,5,0.506857,0.026060,75.652958,0.436930
PMFS,House02,"4,5-3_slow",slow,5,0.510491,0.035075,75.331261,0.372810
PMFS,House03,"1-2,5_fast",fast,5,0.528106,0.034159,94.500329,3.862475
PMFS,House03,"1-2,5_slow",slow,5,3.141330,0.338086,105.286027,9.622904
PMFS,House03,5-3_fast,fast,5,0.439600,0.028941,124.757192,5.564705
PMFS,House03,5-3_slow,slow,5,0.449584,0.027316,177.990278,33.098690
PMFS,House04,"5,7-1,2_fast",fast,5,0.498959,0.017415,180.907109,20.036342
PMFS,House04,"5,7-1,2_slow",slow,5,1.074560,0.221516,103.586871,6.687834
PMFS,House04,"7-3,8_fast",fast,5,0.454328,0.034476,74.438648,0.169356
PMFS,House04,"7-3,8_slow",slow,5,0.461422,0.032501,75.186545,0.520382
PMFS,House05,"4,8-5_fast",fast,5,0.513573,0.027416,83.585151,2.576461
PMFS,House05,"4,8-5_slow",slow,5,0.500603,0.028402,74.834279,0.513321
PMFS,House05,"7-1,2_fast",fast,5,0.445902,0.025894,125.026491,4.928329
PMFS,House05,"7-1,2_slow",slow,5,0.447368,0.033233,75.193760,0.493164
PMFS,House06,"1,2-5_fast",fast,5,0.953980,0.166550,76.453444,0.294087
PMFS,House06,"1,2-5_slow",slow,5,1.956364,0.362818,88.435972,3.113661
PMFS,House06,"1-4,5_fast",fast,5,1.993028,0.170009,80.900270,2.275247
PMFS,House06,"1-4,5_slow",slow,5,1.566966,0.291620,79.176956,1.417824
PMFS,House07,"1,3-5_fast",fast,5,0.425032,0.013788,82.026084,2.681139
PMFS,House07,"1,3-5_slow",slow,5,0.491251,0.044281,84.828671,2.289232
PMFS,House07,6-1_fast,fast,5,0.514618,0.026919,89.330818,4.084029
PMFS,House07,6-1_slow,slow,5,1.882659,0.231027,81.074085,2.452530
PMFS,House08,"1,3-7_fast",fast,5,0.447897,0.028420,166.335255,14.407836
PMFS,House08,"1,3-7_slow",slow,5,0.715087,0.102046,134.315480,2.039130
PMFS,House08,"8,7-6_fast",fast,5,0.502667,0.032212,112.581592,10.597032
PMFS,House08,"8,7-6_slow",slow,5,0.460638,0.036569,101.580496,6.227884
PMFS,House09,"6-2,5_fast",fast,5,0.505880,0.036832,148.836890,8.180522
PMFS,House09,"6-2,5_slow",slow,5,0.450695,0.021171,75.474094,0.530482
PMFS,House09,"6-7,3_fast",fast,5,0.444938,0.020122,155.828397,12.326594
PMFS,House09,"6-7,3_slow",slow,5,0.485420,0.036440,76.048192,0.249223
PMFS,House10,"1-3,2_fast",fast,5,1.024693,0.229534,90.646332,4.961359
PMFS,House10,"1-3,2_slow",slow,5,0.702690,0.086646,90.243790,4.036492
PMFS,House10,"2,3-1_fast",fast,5,0.440289,0.031941,134.345765,4.872972
PMFS,House10,"2,3-1_slow",slow,5,1.468296,0.204388,123.624335,5.298277
